# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.720000000000000000e+02,6.782466804803185482e-04,3.575053270235910512e-07,1.101360394898843152e-02,1.026486075106894510e-03,3.162277660168379134e-02,2.742717600319855381e+06
3.710000000000000000e+02,1.773873201243772544e-03,6.743727563500882607e-07,1.106943528397891750e-02,1.926524567263660512e-03,3.162277660168379134e-02,2.735757217617962044e+06
3.700000000000000000e+02,2.872302296948863257e-03,9.952662611151030230e-07,1.112569139824057945e-02,2.828865326914708263e-03,3.162277660168379134e-02,2.728796848466221243e+06
3.690000000000000000e+02,3.973555460888692804e-03,1.320241235542868553e-06,1.118237653500494741e-02,3.733526010433582416e-03,3.162277660168379134e-02,2.721836501308214385e+06
3.680000000000000000e+02,5.077654403202249388e-03,1.649353944724491469e-06,1.123949498961297234e-02,4.640524452329021499e-03,3.162277660168379134e-02,2.714876184652784839e+06
3.670000000000000000e+02,6.184621053569231905e-03,1.982661540186578827e-06,1.129705111026860914e-02,5.549878667458711841e-03,3.162277660168379134e-02,2.707915907074867748e+06
3.660000000000000000e+02,7.294477563945443895e-03,2.320222075772478765e-06,1.135504929880480282e-02,6.461606853276369647e-03,3.162277660168379134e-02,2.700955677216332406e+06
3.650000000000000000e+02,8.407246311339846429e-03,2.662094523843222179e-06,1.141349401146222152e-02,7.375727392113036809e-03,3.162277660168379134e-02,2.693995503786832560e+06
3.640000000000000000e+02,9.522949900628373265e-03,3.008338791803611774e-06,1.147238975968080561e-02,8.292258853488585629e-03,3.162277660168379134e-02,2.687035395564673468e+06
3.630000000000000000e+02,1.064161116741384021e-02,3.359015738963289559e-06,1.153174111090449726e-02,9.211219996461088647e-03,3.162277660168379134e-02,2.680075361397692002e+06
3.620000000000000000e+02,1.176325318092574443e-02,3.714187193738208242e-06,1.159155268939934987e-02,1.013262977200894525e-02,3.162277660168379134e-02,2.673115410204149783e+06
3.610000000000000000e+02,1.288789924696311269e-02,4.073915971200854054e-06,1.165182917708524127e-02,1.105650732544839060e-02,3.162277660168379134e-02,2.666155550973638427e+06
3.600000000000000000e+02,1.401557291088176803e-02,4.438265890987240687e-06,1.171257531438148376e-02,1.198287199888747878e-02,3.162277660168379134e-02,2.659195792768001556e+06
3.590000000000000000e+02,1.514629796062824316e-02,4.807301795569173490e-06,1.177379590106657908e-02,1.291174333371839476e-02,3.162277660168379134e-02,2.652236144722267520e+06
